  1,   1,  12,  49
  2,  12, 141,  49
  3,  12,  13, 141
  4,  13, 142, 141
  5,  13,  14, 142
  6,  14, 143, 142
  7,  14,  15, 143
  8,  15, 144, 143
  9,  15,  16, 144
 10,  16, 145, 144
 11,  16,  17, 145
 12,  17, 146, 145
 13,  17,  18, 146
 14,  18, 147, 146
 15,  18,   2,  19
 16,  19, 147,  18
 17,  49, 141,  48
 18, 141, 148,  48
 19, 141, 142, 148
 20, 142, 149, 148
 21, 142, 143, 149
 22, 143, 150, 149
 23, 143, 144, 150
 24, 144, 151, 150
 25, 144, 145, 151
 26, 145, 152, 151
 27, 145, 146, 153
 28, 153, 152, 145
 29, 146, 147, 154
 30, 154, 153, 146
 31, 147,  19,  20
 32,  20, 154, 147
 33,  48, 148,  47
 34, 148, 155,  47
 35, 148, 149, 155
 36, 149, 156, 155
 37, 149, 150, 156
 38, 150, 157, 156
 39, 150, 151, 157
 40, 151, 158, 157
 41, 151, 152, 159
 42, 159, 158, 151
 43, 152, 153, 160
 44, 160, 159, 152
 45, 153, 154, 161
 46, 161, 160, 153
 47, 154,  20,  21
 48,  21, 161, 154
 49,  47, 155,  46
 50, 155, 162,  46
 51, 155, 156, 162
 52, 156, 163, 162
 53, 156, 157, 163
 54, 157, 164, 163
 55, 157, 158, 165
 56, 165, 164, 157
 57, 158, 159, 166
 58, 166, 165, 158
 59, 159, 160, 167
 60, 167, 166, 159
 61, 160, 161, 168
 62, 168, 167, 160
 63, 161,  21,  22
 64,  22, 168, 161
 65,  46, 162,  45
 66, 162, 169,  45
 67, 162, 163, 169
 68, 163, 170, 169
 69, 163, 164, 171
 70, 171, 170, 163
 71, 164, 165, 172
 72, 172, 171, 164
 73, 165, 166, 173
 74, 173, 172, 165
 75, 166, 167, 174
 76, 174, 173, 166
 77, 167, 168, 175
 78, 175, 174, 167
 79, 168,  22,  23
 80,  23, 175, 168
 81,  45, 169,  44
 82, 169, 176,  44
 83, 169, 170, 177
 84, 177, 176, 169
 85, 170, 171, 178
 86, 178, 177, 170
 87, 171, 172, 179
 88, 179, 178, 171
 89, 172, 173, 180
 90, 180, 179, 172
 91, 173, 174, 181
 92, 181, 180, 173
 93, 174, 175, 182
 94, 182, 181, 174
 95, 175,  23,  24
 96,  24, 182, 175
 97,  44, 176, 183
 98, 183,  43,  44
 99, 176, 177, 184
100, 184, 183, 176
101, 177, 178, 185
102, 185, 184, 177
103, 178, 179, 186
104, 186, 185, 178
105, 179, 180, 187
106, 187, 186, 179
107, 180, 181, 188
108, 188, 187, 180
109, 181, 182, 189
110, 189, 188, 181
111, 182,  24,  25
112,  25, 189, 182
113,  43, 183, 190
114, 190,  42,  43
115, 183, 184, 191
116, 191, 190, 183
117, 184, 185, 192
118, 192, 191, 184
119, 185, 186, 193
120, 193, 192, 185
121, 186, 187, 194
122, 194, 193, 186
123, 187, 188, 195
124, 195, 194, 187
125, 188, 189, 196
126, 196, 195, 188
127, 189,  25,  26
128,  26, 196, 189
129,  42, 190, 197
130, 197,  41,  42
131, 190, 191, 198
132, 198, 197, 190
133, 191, 192, 199
134, 199, 198, 191
135, 192, 193, 200
136, 200, 199, 192
137, 193, 194, 201
138, 201, 200, 193
139, 194, 195, 202
140, 202, 201, 194
141, 195, 196, 203
142, 203, 202, 195
143, 196,  26,  27
144,  27, 203, 196
145,  41, 197, 204
146, 204,  40,  41
147, 197, 198, 205
148, 205, 204, 197
149, 198, 199, 206
150, 206, 205, 198
151, 199, 200, 207
152, 207, 206, 199
153, 200, 201, 208
154, 208, 207, 200
155, 201, 202, 209
156, 209, 208, 201
157, 202, 203, 210
158, 210, 209, 202
159, 203,  27,  28
160,  28, 210, 203
161,  40, 204, 211
162, 211,  39,  40
163, 204, 205, 212
164, 212, 211, 204
165, 205, 206, 213
166, 213, 212, 205
167, 206, 207, 214
168, 214, 213, 206
169, 207, 208, 215
170, 215, 214, 207
171, 208, 209, 216
172, 216, 215, 208
173, 209, 210, 217
174, 217, 216, 209
175, 210,  28,  29
176,  29, 217, 210
177,  39, 211,  38
178, 211, 218,  38
179, 211, 212, 218
180, 212, 219, 218
181, 212, 213, 219
182, 213, 220, 219
183, 213, 214, 221
184, 221, 220, 213
185, 214, 215, 222
186, 222, 221, 214
187, 215, 216, 223
188, 223, 222, 215
189, 216, 217, 224
190, 224, 223, 216
191, 217,  29,  30
192,  30, 224, 217
193,  38, 218,   4
194, 218,  37,   4
195, 218, 219,  37
196, 219,  36,  37
197, 219, 220,  36
198, 220,  35,  36
199, 220, 221,  35
200, 221,  34,  35
201, 221, 222,  33
202,  33,  34, 221
203, 222, 223,  32
204,  32,  33, 222
205, 223, 224,  31
206,  31,  32, 223
207, 224,  30,   3
208,   3,  31, 224
209,   3,  50,  31
210,  50, 225,  31
211,  50,  51, 225
212,  51, 226, 225
213,  51,  52, 226
214,  52, 227, 226
215,  52,  53, 227
216,  53, 228, 227
217,  53,  54, 228
218,  54, 229, 228
219,  54,  55, 229
220,  55, 230, 229
221,  55,  56, 230
222,  56, 231, 230
223,  56,   5,  57
224,  57, 231,  56
225,  31, 225,  32
226, 225, 232,  32
227, 225, 226, 232
228, 226, 233, 232
229, 226, 227, 233
230, 227, 234, 233
231, 227, 228, 234
232, 228, 235, 234
233, 228, 229, 235
234, 229, 236, 235
235, 229, 230, 237
236, 237, 236, 229
237, 230, 231, 238
238, 238, 237, 230
239, 231,  57,  58
240,  58, 238, 231
241,  32, 232,  33
242, 232, 239,  33
243, 232, 233, 240
244, 240, 239, 232
245, 233, 234, 241
246, 241, 240, 233
247, 234, 235, 242
248, 242, 241, 234
249, 235, 236, 243
250, 243, 242, 235
251, 236, 237, 244
252, 244, 243, 236
253, 237, 238, 245
254, 245, 244, 237
255, 238,  58,  59
256,  59, 245, 238
257,  33, 239, 246
258, 246,  34,  33
259, 239, 240, 247
260, 247, 246, 239
261, 240, 241, 248
262, 248, 247, 240
263, 241, 242, 249
264, 249, 248, 241
265, 242, 243, 250
266, 250, 249, 242
267, 243, 244, 251
268, 251, 250, 243
269, 244, 245, 252
270, 252, 251, 244
271, 245,  59,  60
272,  60, 252, 245
273,  34, 246, 253
274, 253,  35,  34
275, 246, 247, 254
276, 254, 253, 246
277, 247, 248, 255
278, 255, 254, 247
279, 248, 249, 256
280, 256, 255, 248
281, 249, 250, 257
282, 257, 256, 249
283, 250, 251, 258
284, 258, 257, 250
285, 251, 252, 259
286, 259, 258, 251
287, 252,  60,  61
288,  61, 259, 252
289,  35, 253, 260
290, 260,  36,  35
291, 253, 254, 261
292, 261, 260, 253
293, 254, 255, 262
294, 262, 261, 254
295, 255, 256, 263
296, 263, 262, 255
297, 256, 257, 264
298, 264, 263, 256
299, 257, 258, 265
300, 265, 264, 257
301, 258, 259, 266
302, 266, 265, 258
303, 259,  61,  62
304,  62, 266, 259
